Metagene	Cell type	Immunity
FAM49A	Natural killer cell	Innate
FASLG	Natural killer cell	Innate
FCGR1A	Natural killer cell	Innate
FN1	Natural killer cell	Innate
FSTL1	Natural killer cell	Innate
FUCA1	Natural killer cell	Innate
GBP3	Natural killer cell	Innate
GLS2	Natural killer cell	Innate
GRB2	Natural killer cell	Innate
LST1	Natural killer cell	Innate
BCL2	Natural killer cell	Innate
CDC5L	Natural killer cell	Innate
FGF18	Natural killer cell	Innate
FUT5	Natural killer cell	Innate
FZR1	Natural killer cell	Innate
GAGE2	Natural killer cell	Innate
IGFBP5	Natural killer cell	Innate
KANK2	Natural killer cell	Innate
LDB3	Natural killer cell	Innate
BTN2A2	Natural killer T cell	Innate
CD101	Natural killer T cell	Innate
CD109	Natural killer T cell	Innate
CNPY3	Natural killer T cell	Innate
CNPY4	Natural killer T cell	Innate
CREB1	Natural killer T cell	Innate
CRTC2	Natural killer T cell	Innate
CRTC3	Natural killer T cell	Innate
CSF2	Natural killer T cell	Innate
KLRC1	Natural killer T cell	Innate
FUT4	Natural killer T cell	Innate
ICAM2	Natural killer T cell	Innate
IL32	Natural killer T cell	Innate
LAMP2	Natural killer T cell	Innate
LILRB5	Natural killer T cell	Innate
KLRG1	Natural killer T cell	Innate
HSPA4	Natural killer T cell	Innate
HSPB6	Natural killer T cell	Innate
ISM2	Natural killer T cell	Innate
ITIH2	Natural killer T cell	Innate
KDM4C	Natural killer T cell	Innate
KIR2DS4	Natural killer T cell	Innate
KIRREL3	Natural killer T cell	Innate
SDCBP	Natural killer T cell	Innate
NFATC2IP	Natural killer T cell	Innate
MICB	Natural killer T cell	Innate
KIR2DL1	Natural killer T cell	Innate
KIR2DL3	Natural killer T cell	Innate
KIR3DL1	Natural killer T cell	Innate
KIR3DL2	Natural killer T cell	Innate
NCR1	Natural killer T cell	Innate
FOSL1	Natural killer T cell	Innate
TSLP	Natural killer T cell	Innate
SLC7A7	Natural killer T cell	Innate
SPP1	Natural killer T cell	Innate
TREM2	Natural killer T cell	Innate
UBASH3A	Natural killer T cell	Innate
YBX2	Natural killer T cell	Innate
CCDC88A	Natural killer T cell	Innate
CLEC1A	Natural killer T cell	Innate
THBD	Natural killer T cell	Innate
PDPN	Natural killer T cell	Innate
VCAM1	Natural killer T cell	Innate
EMR1	Natural killer T cell	Innate
CREB5	Neutrophil	Innate
CDA	Neutrophil	Innate
CHST15	Neutrophil	Innate
S100A12	Neutrophil	Innate
APOBEC3A	Neutrophil	Innate
CASP5	Neutrophil	Innate
MMP25	Neutrophil	Innate
HAL	Neutrophil	Innate
C1orf183	Neutrophil	Innate
FFAR2	Neutrophil	Innate
MAK	Neutrophil	Innate
CXCR1	Neutrophil	Innate
STEAP4	Neutrophil	Innate
MGAM	Neutrophil	Innate
BTNL8	Neutrophil	Innate
CXCR2	Neutrophil	Innate
TNFRSF10C	Neutrophil	Innate
VNN3	Neutrophil	Innate
CBX6	Plasmacytoid dendritic cell	Innate
DAB2	Plasmacytoid dendritic cell	Innate
DDX17	Plasmacytoid dendritic cell	Innate
HIGD1A	Plasmacytoid dendritic cell	Innate
IDH3A	Plasmacytoid dendritic cell	Innate
IL3RA	Plasmacytoid dendritic cell	Innate
MAGED1	Plasmacytoid dendritic cell	Innate
NUCB2	Plasmacytoid dendritic cell	Innate
OFD1	Plasmacytoid dendritic cell	Innate
OGT	Plasmacytoid dendritic cell	Innate
PDIA4	Plasmacytoid dendritic cell	Innate
SERTAD2	Plasmacytoid dendritic cell	Innate
SIRPA	Plasmacytoid dendritic cell	Innate
TMED2	Plasmacytoid dendritic cell	Innate
ENG	Plasmacytoid dendritic cell	Innate
FCAR	Plasmacytoid dendritic cell	Innate
IGF1	Plasmacytoid dendritic cell	Innate
ITGA2B	Plasmacytoid dendritic cell	Innate
GABARAP	Plasmacytoid dendritic cell	Innate
GPX1	Plasmacytoid dendritic cell	Innate
KRT23	Plasmacytoid dendritic cell	Innate
PROK2	Plasmacytoid dendritic cell	Innate
RALB	Plasmacytoid dendritic cell	Innate
RETNLB	Plasmacytoid dendritic cell	Innate
RNF141	Plasmacytoid dendritic cell	Innate
SEC14L1	Plasmacytoid dendritic cell	Innate
SEPX1	Plasmacytoid dendritic cell	Innate
EMP3	Plasmacytoid dendritic cell	Innate
CD300LF	Plasmacytoid dendritic cell	Innate
ABTB1	Plasmacytoid dendritic cell	Innate
KLHL21	Plasmacytoid dendritic cell	Innate
PHRF1	Plasmacytoid dendritic cell	Innate
